Leader Name	Nation Name	Alliance	Score
Hunter A Prater	Sharish Crim	The Federation	2,287.00
Minhaas	United Agencies	Dragonstone	1,579.70
Williams Obiano	Anambra	None	396.08
Malatov	Australian Peoples Republic	None	84.41
Prezyan	Ariandowlyn	House Stark	2,609.00
Erecto	HTTR	None	358.34
Eli Mcgrath	Sunshine	One is the loneliest number	359.83
Captonize	YangYu Hi	Solar Knights	1,583.48
Wilhelm Harrison	Renco	None	348.89
Freidrik	Neu-Preussen	Electric Space	586.38
Arjuna	Brahmavarta	None	1,465.84
God on earth putin	The isle of death	None	223.62
Mr Miyagi	The Karate Kid	The Boys	634.91
MichaelCollins	Joseph	Teutonic Order	831.32
Carl von Clausewitz	Legion Etrangere	None	1,666.62
Gaius Julius Caesar	The Greater Roman Empire	None	786.71
Dylan	Bronited States of Bromerica	Schrute Farms	1,111.16
Francis Wilhelm	Eagatour	None	575.05
Ivan Ludkrov	Terracor	The United Empire of ZahAharon	785.76
River	Nathedia	Pantheon	1,211.46
Stanislaw Augustus	Ozarkia	Separatists	3,265.42
Utuhomand	Tropic region	Teutonic Order	720.15
Boris Kerlow	Balkaeslavian Union	Schrute Farms	2,122.50
Kinky kali	The Wildsea	Si Hong	1,864.30
Baleia	LibertyLand	None	563.58
Holderlin	Hyperion	Empyrea	3,000.00
Jeremiah	Ogenhemer	None	309.45
Plo Koon	Dorin	Rose	1,666.10
Domais	Domais	Weebunism	1,149.50
JamesJr	East Detroit	None	477.98
Flaming Abdullah	Islamic Fire	None	452.53
Keter	Ein Sof	Ming Empire	799.39
dallas714	Imon	None	166.14
Elliott Miller	Assyrian Empire	Polaris	917.08
Skully	Skeletronia	None	547.97
Juno	junopia	One is the loneliest number	587.11
Erick	United Cities of Zanuntium	None	1,029.31
Manuel J Clouthier	Diaz Republic	None	411.27
jarl Ben the Great	Skyrim	The Ascendant	185.08
Nolan Holmes	Elam	None	317.69
Dan Carrick	Liguania	None	298.44
Dungeonscreamer	Ignis	None	338.78
Firwof Kromwell	Folgrath	Brotherhood of the Clouds	2,889.42
Mikail Gorbatchev	Affiliated Communist States	None	423.28
Rufaro	Buranda	None	262.96
Gemima	Oswada	None	544.54
MAHMOUD	IRAQ Reaplik	None	132.65
Wang Xiaomao	Coastal Republic of Pudong	Acadia	1,987.84
Andkrja	Akitju	None	360.98
Fadbamsen	Hels	The Ampersand	2,367.38
Captain_HunterXL	Nationalist States of Canada	None	196.54
Ibin-Al-Samad	Hoffman Principality	None	369.79
Divine	Phantera	None	856.98
Jack Poe	Republic of Rivia	The Federation	3,217.37
Dylante202	Dylandia	Rose	2,285.00
ZeroBot	Zadinga	Atlas Technologies	1,687.75
BassCannonSJL	StephenAge	None	556.98
Snakelo	Nxumalo	None	260.39
Lane Missel	Lane City	None	634.13
Caesar	Legio Caesaris	Brotherhood of the Clouds	2,660.00
Chaostar	Assassins of Goods	None	1,281.50
ThePunisher0	Indi	None	710.49
Dr Jason Theophilus	Idris	None	370.82
Kudz	Cor Vordula	None	91.45
Rebs	Rebington	The Knights Radiant	1,390.00
HH3	Vikings Lands	None	237.38
Axe	Blackhedge	None	465.59
Luka	United States of Greenaca	The United Armies	837.85
Zeta	Ostrela	None	421.37
Leon de Lodge	Albium	None	834.03
Taysser	Arizzzonianic	None	734.25
Ignatius VI	Agua Fria	Knights Templar	1,357.36
Hefesto	Grand Phoenix	None	429.83
John Dairy	The Union of Lactose	None	430.40
Sander Reman Delgano	Kverka	Brotherhood of the Clouds	1,272.93
lahd khater	republic of Livertad	None	345.58
Diner	Ragibs	None	418.65
Izreal	Lyroan	Horsemen	2,246.32
K Rodzaevsky	Fascist Russia	The Enlightenment	709.14
Jasmin	Jasminland	None	123.21
Ikneelfr0x	Fotia	None	551.84
Yote	Yeeters	None	245.30
Ramejuri	Ramenia	Pantheon	1,445.99
Ragnaroq	Rostrum	The Fighting Pacifists	1,736.00
Upheus	The Dreamwalker Tribes	One is the loneliest number	96.24
IBRAHIMWAEL211	HEMA	Electric Space	369.84
motom	Buddyify	The Ampersand	808.02
Angela Broz Tito	Tirasburg	Si Hong	753.06
Richard Underlin	Northeastern America	None	300.87
bmhilali	Kingdom of yemen	None	241.74
Axel	Magna Terra	Knights of Columbus	97.55
Sergio de Galicia	New Galicia	None	482.25
Kim Peng Un	Kyrolikas	None	398.43
In Office	Confederation of Borvia	None	7.43
Xynder	Dawnguard	The Enlightenment	940.50
Mario Fernado	The Italian Legion	None	500.68
Electoral College	The Allied States of Usko	The Global Union	1,358.18
ridersof05	sneyland	None	384.77
Conqueror	United Republic Of China	None	870.56
Ivan Ivanov	Gardil	None	543.14
Angelus	Wallbrook	None	726.86
camo	Guardian Empier	The Immortals	1,654.76
Shekelstein	New Jewland	Electric Space	336.41
Akasha von Draculea	Imperishable Scarlet	None	665.90
Percy Jackson	Southern Arizona	Deathly Hallows	1,442.85
Danak Shukonov	Dashikastan	None	520.60
Bob neutron	Juania	The United Armies	2,490.00
William T Riker	St Helena	None	879.99
Baam	United Territories	Weebunism	3,049.00
Gloria borger	germa	None	262.45
Raffyn	Rassea	None	683.52
Burke	Burkland	None	2.75
Thomas Holynn	Holynnian Empire	Middle Eastern Pact	618.12
bon	zandia	None	233.23
Medeiros	United Arms	None	942.36
Santosh Akilesh	MathLand	None	133.37
Eros	The Golden Khanate	None	527.72
Count Clement	Trempealeau	Separatists	2,854.10
Spencer Burton	Busland	None	333.85
Johnny Bravo	Niberia III	The Ampersand	797.52
Great Glorious	Brimsland	None	1,370.54
Time	Mystian States	Federation of Commerce States	0.25
Jam	Lyshixia	The United Armies	1,467.63
Hank Hill	Britannica	The Ampersand	1,954.79
Archduke Jon	Ironwell	The Federation	1,205.81
Gerlach IV	Aaraksburg	TheNorthWesternSouthRegionofthefarEast	1,349.07
Mr Lonely	Mangolia	None	256.46
Thea Bruce	Arbitrium Republic	None	2,475.61
Nathan Stark	NewRome	None	792.41
Marvin Bagley III	Thesalia	None	690.25
Mobolo	Copolih	None	312.82
Jinchuan	Jinchuan	None	145.29
Irunn Junn the 3rd	Coalition of Steel	Sparta	283.21
Pika	Kanto	Pika Party	2,595.00
Ember	Shade	None	725.68
Zelidris	Solidarity	United Purple Nations	2,289.00
Yuanzhang II	Lion Rock	None	740.33
Merkurios	Makuria	None	466.21
Giovanni de Medici	Medici Bank	Repubblica Fiorentina	461.20
Philos Swift	Essos	None	162.83
duck ducksson	the duck nation	None	314.15
Swedge	Swedgeland	Arrgh	1,201.50
Anton Volkov	Sosnia	None	472.91
Rinehart	Rhinelandia	None	590.44
Jefferson	AncapistanTM	None	621.14
Ol' Arthur	Vierter	None	1,029.78
AJ Foyt	Federal Republic of Indiana	Acadia	1,544.56
Jayasingawarman	Sunda	None	486.46
Bee	Honeycomb	Peace	32.67
Saddam Hussien	Russian Federation	None	584.88
Polar Bear the Great	Arctic Icelandic Republic	Farkistan	5,305.00
Steuart Geharon	Holy See	None	1,142.17
Petrus	Britannici	The Lost Empire	787.75
Turke	Turke	None	304.98
Raidoactive J Bleaxh	United Cloroxia	The Fighting Pacifists	1,652.45
Fernando Diaz	Unop	The Federation	1,529.88
Tigran Hakobyan	The Great Armenia Empire	League of Democratic Nations	545.58
Drekkza	Drekkzonian Empire	Unforgiven Legion	2,271.12
Filoneus Piloneus	Corellia	None	557.01
Tonihawk Holmes	Arun Roughneck	None	346.40
KlanCS	Kingdom of facist england	The Fighting Pacifists	2,632.35
Bodi	Forerunners	None	594.63
Zulu	Turtain	The Fighting Pacifists	2,008.65
Factorian Kallio	The Scandinavian Empire	The Collective	3,287.50
Helseth	Resdayn	None	667.76
Henery Backer	Balkania	Federation of Commerce States	161.46
Richard Krinkle	Yonderland	Black Knights	2,760.70
Oofydoodoo Boi	Filipino Democratic Empire	None	208.85
CookieMonster	The Village	None	421.26
ChickenKing	Netherlands	None	944.49
Wilhelm Garland	Flat Cap Guild Enterprise	Camelot	3,165.93
Sten	Eshtonia	None	834.80
Victor Reznov	Communist Republic of Cuba	None	537.58
Dave and bob	Shefford	United Royalists	775.17
Mad Titan	Atalantis	Pantheon	1,691.53
Raigen	Triten	Acadia	1,055.18
Legionowski	Imperium Radykalnej Polski	Typhon	707.57
Sven1337_	YAYEET	The Ampersand	2,288.35
Gabriel	Model16Experiment	The Void Touched	2,285.00
Jurr	Napier	The Fighting Pacifists	1,610.30
Pingia	The Republic of Lobacia	Polaris	702.71
molyzn07	molyzn07	None	450.32
I-bor	Ikenstan	Strickland Propane	2,350.00
Maans	Democratic Republic of Texas	None	348.98
Aaroneus	Aaronia	Si Hong	2,567.00
Anticitizen	Union Combine	Typhon	1,046.27
Dom Pedro II	Imperio de Brasil	None	531.23
Namukara	Isturin	The Immortals	3,291.00
Krisjanis I	Kingdom of Latvia	None	369.76
Zak Storm	StormTopia	None	815.49
Fionn mac Cumhaill	Gaillimh	Acadia	2,147.50
Renaldo Coronado	Gladdadire	None	345.94
Baba Yaga	The nightmare past on	The Center Of Offbeat Powers	558.51
MisterW0lfie	Mad Land	Mythic	1,310.61
Noodle	Valkoinland	Pantheon	2,200.22
Nothing Here	Duloc	None	737.05
Victoria Primus	Truasnach	Acadia	696.41
Halligan	Ionia	None	142.22
DrWizarrd	Arrowverse	None	505.58
Vitoli	Gordana	None	529.19
Tenken123	Chinese communist union	None	784.70
Sidious	OPPERS MUTHLAND	The Originals	580.71
Edas	Depolice	The Commonwealth	2,345.00
TheGamerJoe	Myroon	None	50.50
subzero	Third Earth	The Ampersand	1,060.00
Radius	Gad kingdom	Umbrella Corporation	1,014.27
wald friedli	new swiss empire	None	161.14
Varno Trent	Hevelin	None	66.23
Alenkalas	Door of the world	Catholicorum Coronatus	1,054.16
Julius James	Sweynia	Umbrella Corporation	1,809.50
Jake Sayers	Durham	None	446.59
Shchavlev Pibencio	Piben Republic Of Kolesthan	None	314.35
Anthony Harrison	KAG2020	Paradox	315.79
Kybar	Anglo	Pantheon	1,737.74
Saboda	Sadinata	None	936.26
Uhtred	Huetain	Camelot	1,587.74
Michael Edmunds	EUPF	None	260.33
Austin Schaldach	Wadiyaa	None	264.09
King yoder	yoder land	None	236.83
Mammon	Inferno	Rose	2,505.00
Michael Barnes	StateBound	None	356.26
Hofey	Defaults	LaSalle boyz	470.69
Zach	Swol land	None	341.78
Randallator	Wexfordia	Typhon	458.80
Lucian	Abaddon	None	126.84
Faye	Vita Nova	None	363.95
Jack Daniel	Ccanda	The Knights Radiant	376.20
Stony	Socialist South America	Umbrella Corporation	2,611.25
Karle	Calcedona	None	540.21
Vladimir Siderova	The New-Russian Federation	None	282.36
Ronald Grump	No Name	None	180.97
pepperoni	LUNCH	Code of Honor	926.72
Yes I am	111111111	Empyrea	207.11
Hammy	Polumbia	None	124.58
Larsen Breathnach	Breathnach	None	465.86
SolarAuxilia	Vaelara	None	1,310.64
Louis XXIV	Charentoire	None	505.41
Von Salza	Picasto	None	1,362.88
Michal Aoun	Iran	Aurora	2,031.00
Eliot	Asiopolmia	None	263.17
Hateful Howard	Haterville	None	457.01
Xach	Vetenskap Union	Typhon	674.89
Aleksander Morgan	Violetcoast	Brotherhood of Steel	658.34
Nickolas I	Nukecon	None	123.12
ChickenWingGeek	The Falklands	None	710.08
Nikolas XXVII	Tasmanija	None	339.70
JonPilot	Vistoria	None	564.87
Rilynn loeffler	Pootopia	The Lost Empire	21.75
Hacob	Soviet Americas	Frontier Records	904.75
Charlie Bennett	Erusea	None	1,422.17
Raf Man	Great Europe	None	459.57
Josh of Clan Mason	Scottish Highlands	Acadia	2,576.89
Dragonoce	Byzantine Republic	Pantheon	1,909.10
Blunder the first	The conquered empire	Pantheon	1,455.00
Magworm II	Eastern Utopia	None	494.68
Ayberk	Republic of ysilvtanbul	None	79.91
John Bo	The BOCES Republic	None	358.40
DemonGod	Darkness	None	1,406.00
Fernando II	Danish Order	None	484.60
N0TD0CT0R	Great Germany	The Immortals	1,175.44
AU David	Uxistan	Carthago	2,247.50
Lord Meme Machine	Jemimas Witnesses	None	243.87
Carr	Order of the Phoenix	Aurora	1,124.49
Hugill	Union Of Russian Tsarist	New World Order	245.00
Healy	Peaceful Harmony	None	100.62
Mao	Peoples Republic of Britain	New California republic	2,678.15
Codan	Paradiss	Acadia	419.45
EliteGamingPro	EliteEmpire	Elite Democratic Republic	1,006.15
Friedrich-Georg	New Byzantium	None	381.79
Neoxeoz	Nauru	Typhon	2,245.00
Asa McCaleb	Adonia	Typhon	669.23
Beren	Naervilion	None	164.29
AshMac	Wrose	None	119.80
Jora Valdakin	The Shiverpeaks	None	1,946.21
Vincent Lu	Abul Arab	None	490.03
BaDaBingBoom	Nation of China	None	341.49
Shalmaneser I	Belgaria	Typhon	2,118.99
Dattatray	King india	None	277.80
Sn1perlyfe	Hundustania	None	292.98
Amand	Phonixia	None	466.31
Kaiser Stratton	Deutchsvi	None	473.32
Banana Forest	New Zorkhra	None	462.32
Dominicus Victor XXI	Viribus	The Fighting Pacifists	1,341.42
JMason	United Patriots	None	468.62
COBALT	XKrieg	Respublica Romana	1,819.88
Squest	Squestia	The Regiment	2,248.29
Mansa Mennefer	Mennefer Tanasi	None	128.04
Money	Goods	None	146.24
Wilvonleo	Faticapols	Pantheon	1,652.86
Zukran	Zukraola	Guardian	2,516.07
BLEZ	KERLAND	None	157.32
Hughes	Fishtopia	Mythic	2,336.89
Stephen rules15	Stephen rules15	None	254.68
irishwhip	tuskiotan	Electric Space	575.07
Vein	Veins	MythicA1	4,488.50
Zavi	Zaviya	North Point	2,567.18
Emperor of Mankind	The Imperium of Man	Wizards Citadel	2,266.00
Marian Rushanov I	Mariania	None	253.28
Don Dattatray	Kind Hindustan	None	313.61
WilhelmIV	Soviet Germany	None	295.11
Eli Collins	Floridia	None	100.75
Rhen	Hela	None	724.60
Zhango101	Memeopolis	None	1,834.19
Great Benito	Big Uganda	None	456.26
Cozay	Zamland	None	473.43
Omer	Nation of Potatoes and Kebab	None	237.50
Tami	Rivers	Farkistan	2,241.00
Eclipse	Aaaaaaaaaaaaa	None	843.80
Biobele	Abonnema	None	229.41
Ed Stark	New Westeros	None	594.94
Compton	Ambiton	None	573.05
Crete Somteria	New Vadicia	None	166.88
Nayman	Deep Shock	None	451.83
Y-zard	The Republic of New Zardland	Aurora	1,791.69
Shukri Karam	Kumistan	The Red Banner	286.65
Tinoser	New Badajoz	None	703.29
Kingli	McDane	None	469.70
Vali de Tigres	Ole Vonaire	Terminus Est	5,615.60
Gordula	Tondo	None	677.88
Doobledot420	East Siberian Republic	None	213.07
Petko Vidmar	Rovennia	Carthago	1,727.90
Margomi	Margo	None	230.49
Itamar	Frealand	None	172.59
Oriarrow	Oriarrow	The Fighting Pacifists	1,819.83
Christophito	East roman empire	None	74.25
Xstep	Xstep Republic	Demacia	379.44
Juliano IV	Vendanovia	Demacia	397.97
Merowig	Mainhardt	None	89.69
McCartie	Albus	None	640.24
Ner0	The Serres Republic	None	1,627.80
Ehsan	The Great Kingdom	None	246.30
Blubarian	Austro-Hungarian Empire	North Point	2,691.95
Greatest Ice	Northern Iceland	None	482.21
Sclorgnizer	Erondier	None	565.58
BOD NATION	Bod nation	The Fighting Pacifists	2,417.50
Smile Doge	Netherlands Republics	None	689.08
Dryad	Dryad	None	3,859.22
Kaname Isao Reborn	Union of Nippon	Advanced Syndicalist Mechanics	1,947.92
FIL Flubber Sr	Cubland	Brotherhood of the Clouds	884.28
Macharius	De Gloria Macharius	None	604.32
Ballsy	European soldiers	None	468.90
Nite	Kiravoi	None	2,020.47
WarBlood	Catacha	Empyrea	565.52
Rexus	The Great Imperium of Man	Strickland Propane	825.00
Bangela	Santasleigh	None	461.09
Zim	The Irken Empire	Arrgh	1,169.20
Arjay	Canadian_Empire	North Atlantic Treaty Organisation	313.47
Lawrence Law	Father Jackla	None	458.79
Allan Holman	Darana	CLOVER KINGDOM	1,745.50
Craxus	Valer1a	None	1,391.29
Gudea	Outremer	Seven Kingdoms	2,074.00
Servius Jullianus	Imperil Romani	Legacy	87.46
John Trevorson	FederalRepublic of Scotland	None	150.05
The French People	French Louisiana	Typhon	900.69
MikeJohn	The Commonwealth States	None	514.09
Ion	Kingdom of Romania	None	368.71
Panzerboy	Swords Destiny PMC	Code of Honor	786.44
Cadoc	Callow	None	508.40
Marchal	Aigle Sombre	None	233.09
Quadri	The hum	None	616.80
Yum Bacca	Imperial Stars	None	466.24
King Friedrich VIII	Prushovia	None	232.86
tHeBoDaCiOuS	Sayuwamii	The Global Union	1,251.14
Fork the Great	Imperial Knuckles	None	452.02
Charles manson	Checkmateslavika	None	208.31
Rohirrim	Kingdom of the Rohirrim	None	797.98
Murphy	North Brisbane	None	753.55
Bookworm	Hagariy	None	1,213.53
Dusan	Republika Srpska	None	727.41
Miau	Holy City of Miaukistan	None	444.54
The forgotten	Birchclaw	Umbrella Corporation	740.30
Omar the first	Egyptia	None	142.50
Jonathan Smith	Kanata	Typhon	670.64
Goofy Ares	Jack Khan	None	453.15
Vineet	Republica Of India	The Commonwealth	1,445.00
Ares Aurelia	Benji	None	133.98
Ricky5849	Mentor	None	1,111.22
Barkley	Brooks	None	379.00
Jason Derson	Free Badger	The United States of America	857.96
Fox II	Davas	None	469.27
Hecto	Contelacion	None	143.49
Isaacdnz	Strissia	The Commonwealth	702.00
Frosterick	The Frozen Plains	None	389.74
GreyCode	The SeverHouse	None	24.99
Deroygos	Zegonia	None	512.46
Bernardinho	Morlea	None	11.93
Starex John	Jack Scott	None	452.99
Madder Red	Bedlam	Carthago	1,894.50
Maynard	Republic of Maynard	None	529.43
Abraham Sow	Red Maynard	Caesars Legion	519.22
Vincent Shot	Greene Farland	None	466.22
Lone Wanderer	Wasteland	The Empire of the Moonlit Sakura	826.99
Vladimir Streka	Abulia	Unforgiven Legion	1,978.85
Haschwalth The White	Fawkyo	Nous Voyons	207.39
Kamu Moho	Osaka Somalia	None	452.39
Vincent D	Village of Hell	None	487.58
Darton McIntire	Razem	None	341.12
Katz lll	Neu Katzland	None	1,186.05
Jonathan Relean	Roavin	New Pacific Order	1,612.41
gokaes	Eras	None	662.86
Ale Keith	Asuna Club	None	459.50
Mardin	Athelney	None	808.26
Comrade Ben	Ruskat	None	83.03
South Wessex	West hart country	Pantheon	1,243.59
Andreius Traianus	Helmajia	The Fighting Pacifists	2,405.00
Dipshit	united states o murica	Chocolate Castle	2,654.50
Samuel Sally	The Great Gardenia	Pegasus	493.84
Daven Kara	New Tree	The Big Ones	559.60
Sir Horning	Pennsylvan	None	995.59
Jacob Kara	Bleak Haven	Military and Economic Union	512.76
Freddie De Valois	The Kingdom Of Scotland	None	144.15
Zerdef	Yarmolenko	None	453.89
Isaac Ventus	PatricioCosta	None	480.18
Amaterasu	The Dual Principality	The Commonwealth	1,460.50
Mickey 13	The Kingdom of Mickey	None	748.77
Austin White	Ana Buron	None	466.32
Tayyip Erdogan	Knockout Tribe	None	329.50
Veroivot	Olpeda	Unforgiven Legion	1,603.68
Christina Shore	Sirvale	None	140.00
Silaria	Bismarck	None	458.19
Sauvanne	Oliver Bert	None	461.45
Double Jester	Istra Heulyn	None	463.66
Brandon reed	Echepeanyth Empire	None	398.42
Jurgen	Bekodor	None	471.54
Amelia I	Arkastia	None	744.68
Alkum	Roma Albucious	None	462.98
Ethan Ravlin	armed republic of e11	None	380.41
Morthal Kurz	United Darkness	None	455.24
Alexander Perez	Brobani	None	465.52
Rudolph Colter	Synthonia Eligor	None	466.60
Rumi Daraz Ahmad	Epriospore	None	304.59
Sama	Animand	Military and Economic Union	80.12
Gancho	Herdaz	None	436.00
Car Dusan	Greater Serbian Empire	None	267.66
biguss dickuss	TheHolyLand	None	119.69
Ioannis The Great	New Greece	The United Armies	1,239.04
Robber Munki	Harald Hebert	cobra	525.57
Axsrs5s	Northwest Alliance	None	167.08
Sparqs	New Bloxhelm	The Enlightenment	733.33
Blythe Victor	Blake Empire	None	455.92
Alanza	Alanzaville	The Co-Prosperity Union	729.11
Gerardo De Leon	Blastikas	None	127.45
Toolbox	GROUND ZERO	None	890.92
clossysubser	South Turkish Republic	North Point	1,115.13
Jean-Claude Juncker	Company	None	674.38
Iroh	White Lotus	None	469.74
Sir Reknott	Keyport Islands	The Fighting Pacifists	5,656.00
Joju	Harkava	None	824.50
Tarik El Hamza	Islamen	None	150.04
Faisal Charles	Jack Ayan	None	451.98
Furries	Furry Nation	None	77.58
Human-San	Animania	None	1,159.68
CusickSpin	New California Republic-NCR	The Imperium	348.54
Mike Dracma	Dracma	None	251.38
Genuvia	Regania	None	296.69
Star	Seven Suns	Arrgh	1,117.30
Emma MacGuffin	Crete	None	318.55
SubservedJaguar	Aurora Oasis	Demacia	301.94
HonkyTonkKidJr	The Confederacy 2	Federation of Commerce States	2,455.67
Jim Napoleon	Krzeminiz	None	462.90
Wilsheeve Stalin	DeltaSource	New World Order	402.68
Hussein Shaeed	075 Glock Boyz	None	74.96
Pinarayi Vijayan	Kerala	Haven	1,116.20
Axe Bodyspray	Remanent	Arrgh	1,030.34
Hans Heinburg	Under-Germany	Strickland Propane	574.98
Mika	Bosna	None	649.51
Alberto I	Jerusalen	Central Imperial Union	855.06
Gabriel DeSouza	Islaurum	None	50.40
Ph03niXSl4yer	Republic of Military Forces	Reunited Defence and Conquering System	1,278.20
TheJustJonathan	RoastLand	None	494.59
Nicholas Romanov III	Tsardom of New Russia	None	490.80
Sorin	Empire of Economy	Typhon	697.42
donnacha	Irelands	Empyrea	1,895.50
Loaf	Bread Nation	None	1,557.82
Dakotox	United Sectors Of Areyn	None	485.37
South California	Los Angeles	None	108.83
Mitsuki Sakura	Alimonium	None	312.96
LTRazor	Trinidad	None	272.42
Toori	Musashi	Nova Corp	1,580.00
Karlnoah	Lalexz	None	456.38
stema	kinburro	Hollingsworth United Force	188.92
Primary	Thelisi	None	461.60
Placooyeryt	Anime Republic yx	None	125.28
Lucio vendety	Heilo 1	None	418.73
Macgyver Smith	The Republic Of Wakeesh	None	402.04
Patman	Anarchy Monarchy	None	122.32
Andruwu	Pulomas	Farkistan	2,060.00
Freddie Mercury	Queen	None	11.35
Dillon I	Ironfist	The Commonwealth	3,490.00
Menhera	Lishistoria	Chocolate Castle	1,810.00
ExSaint	ExS41nt	None	907.38
Billi Towers	Legion of Jack	None	470.29
John Wick	AMERICA_	Reunited Defence and Conquering System	855.96
Marie Kondo	Ligaya	Electric Space	679.05
Fleet Admiral Hood	UNSC Sol	The Regiment	817.08
Creamsickle	Southern Islands	Berserkers	214.16
Avenguarde	Union of the Solus	Schrute Farms	1,975.49
1763 jacob	jacob	None	173.73
Caro	Scrad	None	8.00
Joseph staliny	Republic of Stalingrad	None	202.06
Gar	The United Sector	None	158.25
Aknankaden	Burmeuda	WESTERN ROMAN EMPIRE	554.11
The Boss	VA Corp	None	271.28
Dominic Wilson	Canadian Commonwealth	The Blitzers	1,014.33
Benjamin Hioth	Hiothia	None	244.40
Stephen III	Knights & Castles	None	1,073.56
Lukas Langeheuvel	Talamh an Eisc	Camelot	1,773.62
ANA JAIME	republica de cucuta	DevTech	394.39
Povloc	Grand Empire of Russia	None	50.50
Callus Rex	Tyrogad	The United Empire of ZahAharon	648.48
Roo	Jimboa	None	2.75
Seven	Saint Augustine	Goon Squad	2,430.00
Thor The Great	The Lost Lands	Ming Empire	483.17
KriLan	HR 5171 A	None	410.15
Wolfgang	Kavalon	Horsemen	2,747.50
Rjbs	Gran Venezuela	One is the loneliest number	665.31
BowShot	Toerana	The Federation	2,461.75
Trev	Trevyland	The Pyramid Corporation	532.88
Ulises Diaz	Deutchland	None	533.04
Woods	United Kingdom of Canada	None	526.76
Tovarishch Vela	USSCR	None	685.40
Montgomery Burns	MontgomeryBurnsCorp	The Syndicate	2,825.00
King Charming	The Great Kingdom Of Charms	None	928.01
Darei Blueberrei	Mayberry	None	628.53
Romulus	Byzues	None	605.62
Terrorbite	Shadow Moon Empire	None	556.19
Ashton Rowe	Butlandion Era	Umbrella Corporation	2,279.55
Juan Serrano	Laviska	The New Soviet Union	191.30
Tori	Bellisaurius	None	449.26
Rex Maior	Mazklein	None	102.67
KimIlSung	Coree	None	16.11
MinhoTheBeast	Korean of Nation II	None	334.29
Aspiracus	Lafinacus	The Commonwealth	1,150.35
Bashar Al-Assad	Assadistan	None	571.17
Aga NP	Belitung Island	None	79.72
Ian Carter the 2nd	Bad unboxing	None	631.40
Rajamer	Aloria	Ignis Aternum	2,107.83
Ardalan	Pop country	None	229.17
Tarek	Matar	The Crimson Entente	381.43
Ompi Klumpi	Luxembourg Reich	None	188.78
Landon Slone	The Free State of Texas	None	189.83
Jamie Campbell	Campbell Land	None	1,464.83
Bill the Moose	Moose	Camelot	3,009.90
Waleed Sani	Militia	The Regiment	1,621.05
Syrachime	Mysticallia	The Knights Radiant	2,305.00
Star_Tube	The Socialist Republic of AU	The Commonwealth	1,792.01
Etu	Yewmaquan	The United Armies	1,367.51
jnwrotc	AusValia	United Purple Nations	749.49
Klaw Kenventuzket	United Lands Of Blicsrithua	None	123.91
Earlson De Adricon	Oceanic Union	None	706.20
Groceries	Sri Emas	Ming Empire	2,448.63
Walter Jones	Corporate Utopia Walmartia	None	655.65
The USA	United Cats of America	Camelot	2,700.00
Nexus	Beaugra	The Regiment	760.78
AlphaWolf	TheAlpha	None	203.05
James Crowell	kanswella	None	378.40
Abdul Hamid II	Khilafah Uthmaniyah	None	206.08
Justinian the 3rd	Astheria	None	798.98
Akira95	Tsukuyomi infinito	Interstellar	868.78
Androxus	Federation of Western Europe	Reunited Defence and Conquering System	570.43
Daniel Sergey	Antegra	None	205.48
MJJ	HIStorea	None	93.49
Pyrisous	Skyros	Order of the White Rose	1,357.69
Ervin	Erva	None	470.00
Theophilius	The Glorious Republic	None	471.16
Atticus Fracas	The Corsair Confederacy	None	512.55
Christian XII	Babalon	Arrgh	867.81
Northern America	MacDonalds Corporation	NATO	90.25
Arhs	Trackland	None	198.81
Pigoopi	BaconTopia	Camelot	1,154.49
CaliKid	Nicaraguana	None	464.92
Michael Dawnbreaker	Cordim	None	302.58
Jim Pickens	Grognakia	Schrute Farms	776.22
Baker Harrington	Inca Empire	None	492.74
Slicknick	Northern Saharan Republic	CLOVER KINGDOM	1,534.90
Highland	Northern Kingdom	None	224.58
Licky	Drujinia	None	319.97
Queen Elizabeth II	British Empire II	None	564.61
Hiler	Crazy Warriors	None	350.18
scrufiNub	Bureaucratic Prussia	The Commonwealth	1,750.00
Celeborn	Lothlorien	The Knights Radiant	1,301.80
Lux	Empire of Arcadia	None	731.15
Wilhelm Fredriech	Hungarian Federation	The Workers Republic	542.66
Bigyan	Volskurn	None	466.25
AntMan	AssassinsOfTheDark	CLOVER KINGDOM	1,920.00
Wick	This country will be deleted	None	250.00
Broke	Dank Republic	The Immortals	3,117.00
Vadim Matusevich	Fairbanks Socialist Republic	None	486.36
Morriane	Rhuidean	The Orphanage	531.40
Muldavan	Ventas	None	650.99
Muradif	Nezavisna Hrvatska	Communist Nations of Orbis	280.52
Paraplay	Commieland	None	2.75
Duncan Croford	UK & Naval Alliances	Pantheon	2,020.00
WHALE	Whaleland	None	1,000.06
Laodie	The Great Titan Empire	The Immortals	967.74
Amilia Dollan	Domino	None	239.64
Tayeb	Kasland	None	278.70
Burnittotheground	Glorious	Schrute Farms	1,481.50
Niklaus Mikaelson	Vigoria	None	693.51
Brennus	Babulus	The United Armies	1,784.78
Kevin McScrooge	Aslicuria	The Imperium	1,226.00
senior trotsky	soviet republic of mexico	None	434.90
RMC	RMC Land	None	437.77
Durand	Antarctico	The Commonwealth	2,207.87
Azadi	Jiria	None	61.05
Orlan Kalocharian	Elanicornia	None	729.77
Taras	Great Ukraina	Empyrea	9.73
Sub-Zero	Lin Kuei	The Enterprise	1,888.00
